type,name,LOA,LWL,LBP,B,D,T,Vk,DWT,L/B,B/T,Vm,Fn,CB,CM,CP,CX
Container,EMS Trader,199.00,189.05,187.90,29.80,16.50,11.55,22.80,30817.06562,6.305369128,2.58008658,11.72832,0.272340959,0.520099128,0.948598741,0.548281487,0.948598741
Container,Freya,118.50,112.58,117.00,18.20,9.20,7.10,17.00,6032.778521,6.428571429,2.563380282,8.7448,0.263144562,0.54079663,0.956044067,0.565660777,0.956044067
Container,Nedlloyd Drake,278.00,264.10,264.00,40.00,24.30,14.00,25.00,61493.5176,6.6,2.857142857,12.86,0.252651723,0.566909925,0.963764468,0.588224555,0.963764468
Container,Theodor Storm,213.00,202.35,204.00,32.20,16.50,10.50,22.70,29574.22252,6.335403727,3.066666667,11.67688,0.262084121,0.541070628,0.956134069,0.5658941,0.956134069
Container,Norilskiy Nickel,169.50,161.03,157.74,23.10,14.20,9.00,15.50,13154.17873,6.828571429,2.566666667,7.9732,0.200609502,0.720113139,0.987976405,0.728876859,0.987976405
Container,Weisshorn,157.10,149.25,149.97,23.50,12.80,9.30,19.60,13233.1038,6.381702128,2.52688172,10.08224,0.263495154,0.539119285,0.955488543,0.564234171,0.955488543
Container,Dore Straight,158.80,150.86,145.00,24.20,13.90,9.70,19.00,16692.19922,5.991735537,2.494845361,9.7736,0.254058076,0.550879945,0.959223767,0.574297639,0.959223767
Container,Norasia Alps,192.50,182.88,184.00,32.20,17.38,11.30,22.60,31709.7354,5.714285714,2.849557522,11.62544,0.274471797,0.504465449,0.942010584,0.535519938,0.942010584
Container,OOCL Advance,158.70,150.77,150.00,25.60,13.70,9.00,22.00,13893.53429,5.859375,2.844444444,11.3168,0.294265177,0.473188129,0.925634888,0.511203861,0.925634888
Container,Dilara Kalkavan,149.00,141.55,136.80,22.70,11.30,7.80,19.00,11380.63256,6.026431718,2.91025641,9.7736,0.262279967,0.534323404,0.953855911,0.560172032,0.953855911
Container,Madeleine,100.00,95.00,95.80,18.80,8.40,6.65,15.00,5023.081905,5.095744681,2.827067669,7.716,0.252752763,0.534636817,0.95396465,0.560436717,0.95396465
Container,Birk,132.60,125.97,123.40,19.20,9.20,7.20,18.00,8618.25503,6.427083333,2.666666667,9.2592,0.263393708,0.540254665,0.955865432,0.5651995,0.955865432
Container,COSCO Asia,349.00,331.55,331.55,45.60,27.30,13.00,25.80,134012.0513,7.270833333,3.507692308,13.27152,0.232708178,0.631017568,0.977156998,0.645768868,0.977156998
Container,Rickmers New Orleans,192.90,183.26,182.00,27.80,15.50,10.70,19.50,27215.5422,6.54676259,2.598130841,10.0308,0.236577344,0.604217226,0.972337948,0.621406607,0.972337948
Container,Kobe Express,294.00,279.30,281.60,32.30,21.40,13.63,24.00,61268.53579,8.718266254,2.369772561,12.3456,0.235853448,0.655647901,0.98083248,0.668460634,0.98083248
Container,Echo,149.00,141.55,136.80,22.70,11.30,7.80,19.50,11102.12685,6.026431718,2.91025641,10.0308,0.269182071,0.520622803,0.948804023,0.548714793,0.948804023
Container,Manukai,217.00,206.15,200.24,32.20,32.20,11.00,22.50,34709.79534,6.21863354,2.927272727,11.574,0.257369634,0.548538906,0.958509193,0.572283407,0.958509193
Container,Aurora,134.00,127.30,124.80,22.50,11.30,8.70,18.50,10283.84621,5.546666667,2.586206897,9.5164,0.269292329,0.510816534,0.944798112,0.540662103,0.944798112
Container,Gerd,134.7,127.97,125.6,21.8,9.30,7.73,18.3,8468.569548,5.76146789,2.820181113,9.41352,0.265688004,0.522099585,0.949377882,0.549938644,0.949377882
Container,Öland,133.95,127.25,124.80,22.50,9.36,7.46,19.00,7820.839644,5.546666667,3.016085791,9.7736,0.276622114,0.497281192,0.93865819,0.529778781,0.93865819
Container,Emma Maersk,397,377.15,381,56,30,15.5,25.5,156907,6.803571429,3.612903226,13.1172,0.215650059,0.669264474,0.982608398,0.681110069,0.982608398
Container,Gudrun Maersk,367.3,348.94,351,42.8,24,14.5,23.2,115700,8.200934579,2.951724138,11.93408,0.203977458,0.744450823,0.98998777,0.751979818,0.98998777
Container,Xin Los Angeles,336.7,319.87,321,45.6,27.2,14.3,24.7,107200,7.039473684,3.188811189,12.70568,0.226819322,0.641908125,0.978861578,0.65577007,0.978861578
Container,COSCO Guangzhou,350.5,332.98,333.4,43,27.3,11.5,24.5,107277,7.753488372,3.739130435,12.6028,0.220509207,0.677712567,0.983630004,0.688991353,0.983630004
Container,CMA CGM Medea,394,374.30,328.9,43,27.3,15.02,23.2,113909,7.648837209,2.862849534,11.93408,0.196944804,0.755939487,0.990837382,0.762929923,0.990837382
Container,Axel Maersk,352,334.40,334.40,43,17,11,23.9,109000,7.776744186,3.909090909,12.29416,0.214650163,0.696794644,0.985735545,0.706877872,0.985735545
Container,NYK Vega,338.2,321.29,321.29,44,24,14.5,24.6,94000,7.302045455,3.034482759,12.65424,0.225399506,0.652224208,0.980358997,0.665291194,0.980358997
Container,MSC Pamela,336.6,319.77,319.77,45.6,27.2,15,25.2,107849,7.0125,3.04,12.96288,0.231445179,0.628450866,0.976735433,0.643419748,0.976735433
Container,Hannover Bridge,336,319.20,319.20,46,24.4,14.04,21,99214,6.939130435,3.276353276,10.8024,0.193043112,0.751422078,0.990510366,0.758621115,0.990510366
Container,A.P. MØLLER,347,329.65,329.65,42.8,,14,25,104696,7.702102804,3.057142857,12.86,0.226141321,0.659610408,0.98136659,0.672134566,0.98136659
Container,Osaka Express,335,318.25,318.25,42.8,,14.5,25,103800,7.435747664,2.951724138,12.86,0.230155978,0.641873179,0.978856317,0.655737893,0.978856317
Container,Colombo Express,335.5,318.73,318.73,43,,14.6,25,104400,7.412209302,2.945205479,12.86,0.229984411,0.641800908,0.978845434,0.65567135,0.978845434
Container,Savannah Express,332,315.40,315.40,43.2,,14.5,25,107000,7.300925926,2.979310345,12.86,0.2311935,0.635852589,0.977930215,0.650202417,0.977930215
Container,LT Cortesia,339.9,322.91,322.91,42.8,,14.5,25.8,100836,7.544509346,2.951724138,13.27152,0.235802702,0.62898596,0.976823967,0.643909221,0.976823967
Container,KARIN SCHEPERS,140.5,133.48,133.48,21.8,,9.5,18.5,9332,6.122706422,2.294736842,9.5164,0.262989385,0.534853248,0.954039572,0.560619563,0.954039572
Container,QC VISION ,147.8,140.41,140.41,23.2,,8.5,19.6,13760,6.052155172,2.729411765,10.08224,0.271658631,0.516386448,0.947115958,0.545219879,0.947115958
Container,NAWATA BHUM,147.8,140.41,140.41,23.2,,8.5,19.6,13760,6.052155172,2.729411765,10.08224,0.271658631,0.516386448,0.947115958,0.545219879,0.947115958
Container,VARAMO ,166.2,157.89,157.89,25,,9.5,19.2,18700,6.3156,2.631578947,9.87648,0.250951833,0.564647737,0.96315898,0.586245623,0.96315898
Container,GENCA ,205,194.75,194.75,25.5,,8.4,22,18250,7.637254902,3.035714286,11.3168,0.258910941,0.574776744,0.965786589,0.595138461,0.965786589
Container,ZEALAND ,153.7,146.02,146.02,18,,6.9,18,10600,8.111944444,2.608695652,9.2592,0.244647186,0.618735948,0.975066505,0.634557688,0.975066505
Container,Zagora,162.8,154.66,153.4,22.3,11.1,8.3,17.7,14111,6.878923767,2.686746988,9.10488,0.233749516,0.619178466,0.975145137,0.634960317,0.975145137
Container,Gulf Mas,143.8,136.61,136.6,21.5,12.5,8.3,17.5,12798,6.353953488,2.590361446,9.002,0.245902678,0.577081569,0.966355442,0.597173197,0.966355442
Container,Quindao Star,187.6,178.22,178.0,28.5,15.6,11.1,18.0,34366,6.245964912,2.567567568,9.2592,0.221442381,0.638199545,0.978295972,0.652358349,0.978295972
Container,Godafoss,165.6,157.32,153.0,28.6,12.0,9.0,20.0,17042,5.34965035,3.188405797,10.288,0.261881297,0.521221328,0.949037496,0.549210468,0.949037496
Container,Rousse,156.9,149.06,145.4,22.9,11.2,8.6,16.0,14101,6.358267717,2.651972158,8.2304,0.215235134,0.659414341,0.981340506,0.671952637,0.981340506
Container,Sally Maersk,347.0,329.65,333.5,42.8,24.1,14.0,25.0,104750,7.792990654,3.057142857,12.86,0.226141321,0.661774524,0.98165217,0.674143596,0.98165217
Container,Lappland,118.5,112.58,108.0,17.9,9.2,7.1,17.0,6896,6.033519553,2.524682652,8.7448,0.263144562,0.532712851,0.953292511,0.558813633,0.953292511
Container,Valdivia,178.9,169.96,167.5,27.6,14.6,10.9,21.0,22300,6.06884058,2.541436464,10.8024,0.264556708,0.530588247,0.952537301,0.557026215,0.952537301
Container,Zhong He,275.0,261.25,264.2,32.2,21.5,12.5,24.0,51609,8.204968944,2.576,12.3456,0.243865042,0.622774419,0.975774708,0.638235869,0.975774708
Container,Maersk Newport,207.4,197.03,198.7,29.8,16.4,11.4,22.0,35205,6.669127517,2.614035088,11.3168,0.257408544,0.557879672,0.961279802,0.580350977,0.961279802
Container,Maersk Arkansas,155.0,147.25,145.0,25.0,13.9,8.4,18.0,17375,5.8,2.976190476,9.2592,0.243619086,0.570247098,0.964637817,0.591151506,0.964637817
Container,Maersk Georgia,292.0,277.40,277.2,32.3,21.7,13.5,24.2,62242,8.582043344,2.389053254,12.44848,0.238631952,0.64494008,0.979313042,0.658563761,0.979313042
Container,Maersk Salah,334.1,317.37,317.4,45.6,24.8,14.5,25.0,102800,6.959791667,3.144827586,12.86,0.230476114,0.629861838,0.976968146,0.644710721,0.976968146
Container,Xin Da Lian,279.0,265.05,265.8,40.3,24.1,14.0,26.0,68000,6.595533499,2.878571429,13.3744,0.262286477,0.545993527,0.9577163,0.570099442,0.9577163
Container,Cap Bon,210.0,199.50,198.8,30.1,16.7,11.5,22.1,34629,6.604651163,2.617391304,11.36824,0.256972873,0.557474462,0.961163974,0.57999933,0.961163974
Container,Colombo Express,336.0,319.20,319.0,43.0,20.2,14.6,25.0,103800,7.418604651,2.943189596,12.86,0.229813228,0.642428817,0.978939801,0.656249563,0.978939801
Container,CMA CGM Balzac,300.0,285.00,286.1,40.3,24.1,14.0,26.0,77941,7.098263027,2.878571429,13.3744,0.252939918,0.57687108,0.966303921,0.596987209,0.966303921
Container,Gosport Maersk,292.0,277.40,277.0,32.3,21.7,13.5,24.2,51100,8.589147287,2.38535503,12.44848,0.238631952,0.645100377,0.979336641,0.658711571,0.979336641
Container,Ebba Maersk,397.7,377.82,376.0,42.8,24.1,16.0,24.5,158200,8.785046729,2.675,12.6028,0.207008168,0.74874536,0.990312329,0.756069917,0.990312329
Container,Estelle Maersk,397.7,377.82,376.0,56.6,30.2,15.5,25.0,158200,6.648983201,3.648387097,12.86,0.211232825,0.679319254,0.983817788,0.690492958,0.983817788
Container,Emma Maersk,397.7,377.82,376.0,56.4,30.2,15.5,25.0,156907,6.666666667,3.638709677,12.86,0.211232825,0.67977003,0.98387011,0.690914403,0.98387011
Container,NYK Theseus,304.6,289.37,292.0,40.0,24.8,13.0,25.0,70520,7.3,3.076923077,12.86,0.241368012,0.609028508,0.973275118,0.625751647,0.973275118
Container,MSC Ivana,363.0,344.85,348.0,45.6,29.7,14.0,24.8,110600,7.631578947,3.257142857,12.75712,0.219332517,0.678355528,0.983705394,0.68959216,0.983705394
Container,Hanjin Brussels,278.0,264.10,265.0,40.3,19.3,14.0,27.0,68500,6.575682382,2.878571429,13.8888,0.272863861,0.52443672,0.950271081,0.551881174,0.950271081
Container,Hatsu Eagle,300.0,285.00,283.0,42.8,24.2,13.5,25.0,75898,6.612149533,3.17037037,12.86,0.24321146,0.589183543,0.969178976,0.607920268,0.969178976
Container,Yorktown Express,243.4,231.23,232.4,32.2,19.5,10.5,22.5,40478,7.217391304,3.066666667,11.574,0.243011533,0.603079131,0.972111252,0.620380773,0.972111252
Container,Daffodil,240.0,228.00,225.2,32.2,19.2,11.7,22.0,42240,6.99378882,2.752136752,11.3168,0.239288437,0.607430815,0.972967659,0.624307303,0.972967659
Container,Cornelius Maersk,346.0,328.70,331.5,42.8,24.1,14.5,25.0,104900,7.746261682,2.951724138,12.86,0.226467879,0.659709218,0.981379723,0.672226258,0.981379723
Container,Emma Maersk,397.7,377.82,376.0,56.4,30.2,15.5,24.5,152800,6.666666667,3.638709677,12.6028,0.207010771,0.693634167,0.985404918,0.703907759,0.985404918
Container,Wellington Express,188.1,178.70,175.6,30.0,16.8,11.5,21.0,30620,5.853333333,2.608695652,10.8024,0.258005848,0.539562406,0.955636067,0.56461076,0.955636067
Container,MSC Antares,277.0,263.15,263.0,40.0,17.6,14.0,24.0,67564,6.575,2.857142857,12.3456,0.242983068,0.588914097,0.969118966,0.60767988,0.969118966
Container,Oakland Express,294.0,279.30,283.2,32.2,21.8,13.6,24.0,67145,8.795031056,2.376383764,12.3456,0.235853448,0.657400468,0.981070521,0.670084824,0.981070521
Container,OOCL Advance,158.0,150.10,150.0,25.6,13.7,9.2,21.0,15315,5.859375,2.782608696,10.8024,0.281511023,0.494626416,0.937362602,0.527678847,0.937362602
Container,Berlin Express,320.0,304.00,308.5,42.8,24.5,14.5,25.0,100006,7.207943925,2.951724138,12.86,0.235488484,0.622129419,0.975663002,0.637647853,0.975663002
Container,Cala Panama,153.0,145.35,141.7,25.3,13.5,10.1,19.0,17500,5.600790514,2.504950495,9.7736,0.258828764,0.532593086,0.953250304,0.558712737,0.953250304
Container,CMA CGM Charcot,211.0,200.45,195.4,32.3,19.0,12.0,21.0,39300,6.049535604,2.691666667,10.8024,0.24360305,0.575800387,0.966040516,0.596041654,0.966040516
Container,Nordmed,207.0,196.65,195.4,29.8,16.4,11.4,22.0,33857,6.55704698,2.614035088,11.3168,0.257657128,0.554999137,0.960448004,0.577854433,0.960448004
Container,AS Scandia,188.0,178.60,176.4,26.5,14.2,10.5,20.0,24973,6.656603774,2.523809524,10.288,0.245785198,0.583987807,0.96799939,0.60329357,0.96799939
Container,CMA CGM Voltaire,300.0,285.00,286.0,40.0,24.2,14.5,27.0,79559,7.15,2.75862069,13.8888,0.262668377,0.556566076,0.960902916,0.579211559,0.960902916
Container,Commodore,205.0,194.75,190.8,32.2,16.8,11.5,22.0,39500,5.925465839,2.8,11.3168,0.258910941,0.539176373,0.955507579,0.564282675,0.955507579
Container,CSCL Barcelona,207.0,196.65,195.5,32.2,16.8,11.5,21.6,35600,6.071428571,2.8,11.11104,0.252972453,0.554940325,0.960430816,0.57780354,0.960430816
Fast Frigate,River Class,112.75,107.11,109.75,12.5,,3.9,30,,8.78,3.205128205,15.432,0.476066512,0.382927257,0.8352762,0.458443874,0.8352762
Fast Frigate,Olso Class,96.62,91.79,93.87,11.17,,4.4,25,,8.403760072,2.538636364,12.86,0.428559519,0.306627759,0.62942525,0.487155161,0.62942525
Fast Frigate,Kortenaer Class,130.2,123.69,121.8,14.4,,4.4,30,,8.458333333,3.272727273,15.432,0.443017025,0.379258159,0.829323142,0.457310474,0.829323142
Fast Frigate,Lupo Class,113.55,107.87,106,12,,4,35.23,,8.833333333,3,18.122312,0.557087902,0.423377819,0.886591295,0.477534373,0.886591295
Fast Frigate,FFG-7,135.9,129.11,120.4961635,13.5,,6.71,29,,8.925641741,2.011922504,14.9176,0.419172635,0.261445545,0.341781766,0.76494878,0.341781766
Fast Frigate,Cornwall Class,148.1,140.70,135.65,14.75,,5.35,30,,9.196610169,2.757009346,15.432,0.415382675,0.390080556,0.846162489,0.460999585,0.846162489
Fast Frigate,Krivak-III (Nerey) Class,124.2,117.99,116.9,14.2,,4.9,30,,8.232394366,2.897959184,15.432,0.453591712,0.395813989,0.854253189,0.463345053,0.854253189
Fast Frigate,Santa Maria Class,137.7,130.82,121.9987405,14.3,,7.5,29,,8.531380455,1.906666667,14.9176,0.416423933,0.256455038,0.294609551,0.870491256,0.294609551
Fast Frigate,Karel Doorman Class,122.25,116.14,114.4,14.37,,4.3,29,,7.961029923,3.341860465,14.9176,0.441955169,0.386440751,0.840738063,0.459644649,0.840738063
Fast Frigate,Minerva Class,86.6,82.27,80,10.5,,3.16,25,,7.619047619,3.32278481,12.86,0.452674172,0.378203149,0.827562337,0.457008653,0.827562337
Fast Frigate,Neutrahimyy (Yastreb) Class,131.2,124.64,123,15.3,,4.9,32,,8.039215686,3.12244898,16.4608,0.470747166,0.4231979,0.886410471,0.477428814,0.886410471
Fast Frigate,Kaszub Class,82.3,78.19,75.7527595,10,,3.1,27,,7.57527595,3.225806452,13.8888,0.501497186,0.416743066,0.879684517,0.473741503,0.879684517
Fast Frigate,Duke (Type 23) Class,133,126.35,123,16.1,,4.3,28,,7.639751553,3.744186047,14.4032,0.409106957,0.401000335,0.861125227,0.465670175,0.861125227
Fast Frigate,Abukuma Class,109,103.55,98.040985,13.4,,3.8,27,,7.316491418,3.526315789,13.8888,0.435767833,0.381963784,0.833738176,0.458133974,0.833738176
Fast Frigate,Jiangwei (Project 055) Class,115,109.25,103.049575,14,,4,28,,7.360683929,3.5,14.4032,0.439960579,0.27396993,0.443703074,0.61746232,0.443703074
Fast Frigate,Anzac Class (Meko 200 ANZ),117.5,111.63,109.5,14.8,,5.99,31.75,,7.398648649,2.470784641,16.3322,0.493548061,0.321102983,0.686453418,0.467770972,0.686453418
Fast Frigate,LCS Freedom Class,118.6,112.67,106.054729,17.5,,4.13,45,,6.060270229,4.237288136,23.148,0.696265414,0.363956163,0.801424646,0.454136474,0.801424646
Fast Frigate,Milgem Class,99.56,94.58,90.1608034,14.4,,3.89,30,,6.261166903,3.701799486,15.432,0.506621323,0.368469493,0.810206371,0.454784739,0.810206371
